"","COMID","width.ft","PercentWoodyDebris","LengthFt","BottomWidthFt","width.km"
"1","12953246",55.8,35,81.9,46.2,0.01700784
"10","12953246",47.4,30,156.3,53.1,0.01444752
"1.1","12953248",55.8,35,81.9,46.2,0.01700784
"528","12953292",20.7,20,44.7,26.7,0.00630936
"529","12953292",26.7,10,99.6,21.9,0.00813816
"530","12953292",21.9,15,1236.6,20.7,0.00667512
"531","12953292",20.7,15,1150.8,33.9,0.00630936
"532","12953292",33.9,5,1247.4,21.9,0.01033272
"534","12953292",32.4,10,1162.5,30.3,0.00987552
"535","12953292",30.3,20,1341.9,34.5,0.00923544
"536","12953292",34.5,20,1177.8,53.4,0.0105156
"537","12953292",53.4,25,396.9,20.4,0.01627632
"538","12953292",20.4,25,483.6,22.5,0.00621792
"539","12953292",22.5,15,941.4,27.3,0.006858
"540","12953292",27.3,15,367.5,27,0.00832104
"541","12953292",27,30,800.4,27,0.0082296
"542","12953292",27,10,753.6,41.7,0.0082296
"543","12953292",41.7,10,81.6,23.4,0.01271016
"544","12953292",23.4,15,124.2,25.8,0.00713232
"545","12953292",25.8,5,164.4,29.1,0.00786384
"546","12953292",29.1,30,444.6,32.4,0.00886968
"547","12953292",32.4,20,115.5,31.2,0.00987552
"548","12953292",31.2,15,1416,39.3,0.00950976
"474","12953286",21.3,20,1206.9,15.3,0.00649224
"476","12953286",19.5,40,1207.5,38.1,0.0059436
"477","12953286",38.1,50,1223.1,28.2,0.01161288
"478","12953286",28.2,50,919.2,46.2,0.00859536
"481","12953286",27.6,30,1345.5,41.4,0.00841248
"482","12953286",41.4,15,1205.1,38.4,0.01261872
"483","12953286",38.4,15,1254.3,18.6,0.01170432
"484","12953286",18.6,10,78,31.2,0.00566928
"485","12953286",31.2,40,1164.6,31.5,0.00950976
"486","12953286",31.5,30,1003.8,30.9,0.0096012
"487","12953286",30.9,30,968.1,34.5,0.00941832
"488","12953286",34.5,20,530.3,48,0.0105156
"489","12953286",48,20,648.1,42.6,0.0146304
"490","12953286",42.6,0,22.2,24,0.01298448
"491","12953286",24,15,1154.7,23.1,0.0073152
"492","12953286",23.1,15,964.2,26.1,0.00704088
"495","12953286",26.4,10,427.8,24.3,0.00804672
"498","12953286",27,25,941.1,47.7,0.0082296
"499","12953286",47.7,15,969.6,24,0.01453896
"500","12953286",24,10,1121.1,16.2,0.0073152
"501","12953286",16.2,10,1098,26.1,0.00493776
"502","12953286",26.1,5,34.8,22.5,0.00795528
"503","12953286",22.5,5,160.5,18.6,0.006858
"505","12953286",40.8,25,1186.2,29.4,0.01243584
"506","12953286",29.4,25,1108.8,17.7,0.00896112
"508","12953286",23.4,20,1046.1,36.3,0.00713232
"509","12953286",36.3,5,66.9,26.4,0.01106424
"510","12953286",26.4,10,762.6,29.1,0.00804672
"511","12953286",29.1,5,155.4,28.8,0.00886968
"513","12953286",24.6,15,1217.4,21.6,0.00749808
"514","12953286",21.6,15,757.8,30.3,0.00658368
"515","12953286",30.3,15,75.6,15.6,0.00923544
"516","12953286",15.6,20,1099.8,26.1,0.00475488
"517","12953286",26.1,20,1249.8,19.8,0.00795528
"519","12953286",28.2,20,1287.6,18.6,0.00859536
"520","12953286",18.6,30,1264.5,24.3,0.00566928
"521","12953286",24.3,25,1307.1,21.9,0.00740664
"522","12953286",21.3,5,67.8,18.6,0.00649224
"523","12953286",18.6,0,30,19.5,0.00566928
"524","12953286",19.5,25,1143.3,27.3,0.0059436
"525","12953286",27.3,35,684.9,31.2,0.00832104
"526","12953286",31.2,25,136.8,45.3,0.00950976
"527","12953286",45.3,10,221.7,20.7,0.01380744
"528.1","12953286",20.7,20,44.7,26.7,0.00630936
"529.1","12953286",26.7,10,99.6,21.9,0.00813816
"530.1","12953286",21.9,15,1236.6,20.7,0.00667512
"528.2","12953288",20.7,20,44.7,26.7,0.00630936
"529.2","12953288",26.7,10,99.6,21.9,0.00813816
"1176","12953308",66,10,222,84,0.0201168
"1177","12953308",84,10,852,63,0.0256032
"1179","12953308",72,5,1356,153,0.0219456
"1180","12953308",153,10,462,75,0.0466344
"1181","12953308",75,10,7836,87,0.02286
"1182","12953308",87,5,315,87,0.0265176
"1183","12953308",87,10,336,84,0.0265176
"1184","12953308",84,10,285,72,0.0256032
"1185","12953308",72,10,183,66,0.0219456
"1186","12953308",66,5,483,102,0.0201168
"1187","12953308",102,15,1029,93,0.0310896
"1189","12953308",90,10,519,96,0.027432
"1190","12953308",96,5,234,102,0.0292608
"1116","12953318",48,10,168,96,0.0146304
"1117","12953318",72,10,486,75,0.0219456
"1118","12953318",75,10,579,57,0.02286
"1119","12953318",57,15,144,63,0.0173736
"1120","12953318",63,15,249,93,0.0192024
"1121","12953318",93,0,249,66,0.0283464
"1122","12953318",66,10,297,75,0.0201168
"1123","12953318",75,15,4152,63,0.02286
"1126","12953318",57,15,120,42,0.0173736
"1127","12953318",48,10,456,78,0.0146304
"1129","12953318",51,20,936,63,0.0155448
"1130","12953318",63,10,129,51,0.0192024
"1131","12953318",51,15,1398,57,0.0155448
"1132","12953318",57,15,315,54,0.0173736
"1133","12953318",54,15,942,96,0.0164592
"1174","12953318",69,10,90,84,0.0210312
"1175","12953318",84,10,3726,66,0.0256032
"1223","12953318",75,10,2385,69,0.02286
"1110","12952858",87,20,234,90,0.0265176
"1111","12952858",90,15,1476,99,0.027432
"1112","12952858",99,10,360,102,0.0301752
"1113","12952858",72,20,1086,102,0.0219456
"1114","12952858",102,15,1005,93,0.0310896
"1081","12953314",336,15,222,54,0.1024128
"1082","12953314",39,15,126,36,0.0118872
"1083","12953314",36,10,1266,48,0.0109728
"1084","12953314",48,5,93,36,0.0146304
"1085","12953314",36,10,1749,60,0.0109728
"1086","12953314",60,20,159,63,0.018288
"1087","12953314",66,15,135,51,0.0201168
"1088","12953314",51,15,30,51,0.0155448
"1089","12953314",51,20,3819,72,0.0155448
"1090","12953314",72,20,138,72,0.0219456
"1091","12953314",72,15,2586,30,0.0219456
"1092","12953314",30,20,39,36,0.009144
"1093","12953314",36,20,195,66,0.0109728
"1094","12953314",54,20,177,69,0.0164592
"1095","12953314",69,15,696,84,0.0210312
"1096","12953314",84,20,138,75,0.0256032
"1098","12953314",72,20,111,51,0.0219456
"1099","12953314",51,15,894,54,0.0155448
"1100","12953314",54,5,684,39,0.0164592
"1101","12953314",72,20,6168,72,0.0219456
"1102","12953314",72,15,66,75,0.0219456
"1103","12953314",75,15,3102,84,0.02286
"1104","12953314",84,10,159,84,0.0256032
"1105","12953314",84,15,1014,102,0.0256032
"1106","12953314",102,20,114,75,0.0310896
"1107","12953314",75,15,1584,78,0.02286
"1108","12953314",78,15,225,57,0.0237744
"1109","12953314",57,15,489,87,0.0173736
"1135","12953314",69,10,1011,72,0.0210312
"1136","12953314",72,10,141,63,0.0219456
"1137","12953314",63,15,612,57,0.0192024
"1138","12953314",57,10,177,54,0.0173736
"1139","12953314",54,15,5613,48,0.0164592
"1140","12953314",48,15,123,57,0.0146304
"1141","12953314",57,10,621,93,0.0173736
"1142","12953314",93,10,228,72,0.0283464
"1143","12953314",72,10,108,75,0.0219456
"1144","12953314",75,5,81,51,0.02286
"1145","12953314",51,10,204,54,0.0155448
"1146","12953314",51,5,258,54,0.0155448
"1147","12953314",54,20,156,42,0.0164592
"1148","12953314",54,5,144,66,0.0164592
"1149","12953314",66,10,90,66,0.0201168
"1150","12953314",66,10,366,72,0.0201168
"1151","12953314",72,10,87,42,0.0219456
"1152","12953314",42,5,459,36,0.0128016
"1153","12953314",36,10,111,54,0.0109728
"1154","12953314",54,15,687,48,0.0164592
"1158","12953314",42,15,330,48,0.0128016
"1159","12953314",48,15,132,42,0.0146304
"1160","12953314",42,15,132,51,0.0128016
"1161","12953314",51,10,312,48,0.0155448
"1162","12953314",48,20,3840,87,0.0146304
"1163","12953314",87,10,396,57,0.0265176
"1164","12953314",57,20,108,66,0.0173736
"1166","12953314",90,20,6840,72,0.027432
"1167","12953314",72,10,759,57,0.0219456
"1168","12953314",57,5,126,66,0.0173736
"1169","12953314",66,10,138,57,0.0201168
"1170","12953314",39,5,144,63,0.0118872
"1171","12953314",63,5,90,72,0.0192024
"1172","12953314",72,5,93,48,0.0219456
"1173","12953314",48,10,1740,72,0.0146304
"1079","12953312",45,10,135,51,0.013716
"1080","12953312",51,10,1392,33,0.0155448
"1081.1","12953312",336,15,222,54,0.1024128
"1059","12953316",30,10,141,39,0.009144
"1060","12953316",30,10,4554,57,0.009144
"1061","12953316",54,20,141,48,0.0164592
"1062","12953316",60,10,1476,42,0.018288
"1063","12953316",42,5,78,48,0.0128016
"1064","12953316",48,5,258,45,0.0146304
"1065","12953316",45,10,84,42,0.013716
"1066","12953316",42,5,168,36,0.0128016
"1069","12953316",36,15,78,36,0.0109728
"1070","12953316",36,10,414,39,0.0109728
"1071","12953316",39,10,150,48,0.0118872
"1072","12953316",48,5,420,87,0.0146304
"1073","12953316",87,5,57,60,0.0265176
"1074","12953316",60,5,201,69,0.018288
"1075","12953316",69,10,159,42,0.0210312
"1076","12953316",42,5,312,42,0.0128016
"1077","12953316",60,15,87,39,0.018288
"1078","12953316",39,10,1458,45,0.0118872
"549","12952856",39.3,10,1251,39.6,0.01197864
"550","12952856",39.6,10,526.8,43.8,0.01207008
"551","12952856",31.2,15,1092.9,34.2,0.00950976
"552","12952856",34.2,10,274.2,49.2,0.01042416
"554","12952856",43.8,25,204.3,39,0.01335024
"555","12952856",39,20,170.4,59.4,0.0118872
"1606","12952890",60,10,231,72,0.018288
"1607","12952890",72,10,504,60,0.0219456
"1608","12952890",60,10,255,57,0.018288
"1609","12952890",57,20,1203,54,0.0173736
"1610","12952890",54,10,111,48,0.0164592
"1611","12952890",51,15,1803,39,0.0155448
"1612","12952890",39,10,132,78,0.0118872
"1613","12952890",78,20,3519,51,0.0237744
"1614","12952890",51,20,162,45,0.0155448
"1615","12952890",45,15,1146,72,0.013716
"1616","12952890",72,15,180,51,0.0219456
"1617","12952890",51,20,2007,69,0.0155448
"1081.2","12953310",336,15,222,54,0.1024128
"1058","12953322",30,5,2991,30,0.009144
"1649","12952968",78,5,306,51,0.0237744
"1650","12952968",51,5,240,54,0.0155448
"1651","12952968",54,10,288,51,0.0164592
"1652","12952968",51,10,354,60,0.0155448
"1653","12952968",60,10,501,48,0.018288
"1654","12952968",48,10,342,57,0.0146304
"1655","12952968",57,15,1287,54,0.0173736
"1656","12952968",54,15,258,48,0.0164592
"1657","12952968",48,20,705,48,0.0146304
"1658","12952968",48,10,408,48,0.0146304
"1659","12952968",48,10,1218,66,0.0146304
"1660","12952968",66,5,261,57,0.0201168
"1661","12952968",57,10,258,63,0.0173736
"1662","12952968",63,10,345,54,0.0192024
"1663","12952968",54,10,192,51,0.0164592
"1664","12952968",51,5,327,48,0.0155448
"1665","12952968",48,10,459,48,0.0146304
"1666","12952968",48,10,222,51,0.0146304
"1667","12952968",51,5,231,54,0.0155448
"1668","12952968",54,15,747,51,0.0164592
"1669","12952968",51,15,345,51,0.0155448
"1670","12952968",51,10,372,54,0.0155448
"1671","12952968",54,5,591,69,0.0164592
"1672","12952968",69,10,249,48,0.0210312
"1673","12952968",48,15,159,54,0.0146304
"1674","12952968",54,10,549,54,0.0164592
"1675","12952968",54,10,318,60,0.0164592
"1676","12952968",60,15,627,60,0.018288
"1677","12952968",60,20,501,54,0.018288
"1678","12952968",54,15,216,72,0.0164592
"1679","12952968",75,5,252,51,0.02286
"1680","12952968",51,10,402,48,0.0155448
"1681","12952968",48,5,537,51,0.0146304
"1682","12952968",51,15,441,48,0.0155448
